epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1166.82,0.94677,0.57101,1.76101,0.923,0.86909,0.94476,0.79235,1.14366,0.62436,1.73236,0.000404375,0.000404375,0.000404375
84,1180.36,0.96599,0.5626,1.7704,0.91525,0.93605,0.95875,0.80526,1.13184,0.63147,1.7444,0.000394063,0.000394063,0.000394063
85,1194.08,0.96731,0.54253,1.77193,0.87327,0.8912,0.94597,0.77681,1.10627,0.64673,1.73613,0.00038375,0.00038375,0.00038375
86,1207.81,0.93952,0.54538,1.77769,0.90147,0.89018,0.94751,0.79126,1.112,0.63384,1.74887,0.000373437,0.000373437,0.000373437
87,1221.44,0.95385,0.56432,1.76468,0.92467,0.87227,0.95852,0.7846,1.10435,0.61675,1.73966,0.000363125,0.000363125,0.000363125
88,1235.1,0.94271,0.52514,1.77632,0.95944,0.91646,0.96761,0.80113,1.12093,0.5916,1.73347,0.000352812,0.000352812,0.000352812
89,1248.9,0.92355,0.52791,1.76031,0.96777,0.91438,0.96914,0.8075,1.09432,0.59874,1.73488,0.0003425,0.0003425,0.0003425
90,1262.29,0.93975,0.53108,1.75788,0.87161,0.92689,0.96073,0.79727,1.12647,0.58584,1.72607,0.000332187,0.000332187,0.000332187
91,1275.83,0.90401,0.51483,1.74436,0.91865,0.94711,0.96694,0.81447,1.10055,0.56056,1.72621,0.000321875,0.000321875,0.000321875
92,1289.37,0.90433,0.52657,1.77301,0.92256,0.92676,0.96443,0.78584,1.15252,0.59035,1.73815,0.000311563,0.000311563,0.000311563
93,1303.18,0.8974,0.51277,1.76503,0.86955,0.94924,0.96565,0.78248,1.13612,0.58046,1.73492,0.00030125,0.00030125,0.00030125
94,1316.97,0.91001,0.52486,1.76728,0.91255,0.91817,0.95833,0.78576,1.11593,0.59464,1.74679,0.000290937,0.000290937,0.000290937
95,1330.49,0.90914,0.51676,1.75699,0.94799,0.89979,0.95697,0.78775,1.10985,0.62033,1.74508,0.000280625,0.000280625,0.000280625
96,1343.86,0.90461,0.52192,1.7549,0.90715,0.93519,0.9645,0.80565,1.10079,0.59142,1.73051,0.000270313,0.000270313,0.000270313
97,1357.14,0.87037,0.50059,1.73333,0.9058,0.92689,0.96684,0.80165,1.12101,0.59932,1.73178,0.00026,0.00026,0.00026
98,1370.93,0.88147,0.49678,1.74603,0.92345,0.93432,0.96587,0.78539,1.13046,0.5917,1.7319,0.000249687,0.000249687,0.000249687
99,1384.52,0.87326,0.5176,1.75139,0.89666,0.94689,0.96267,0.80259,1.10729,0.61623,1.72941,0.000239375,0.000239375,0.000239375
100,1398.2,0.85585,0.49458,1.75046,0.9165,0.91413,0.96344,0.79682,1.1003,0.59415,1.73054,0.000229063,0.000229063,0.000229063
101,1411.71,0.8396,0.49751,1.74077,0.8617,0.92291,0.93746,0.77187,1.11802,0.62241,1.73673,0.00021875,0.00021875,0.00021875
102,1425.32,0.85722,0.49814,1.74153,0.87743,0.9127,0.95933,0.79443,1.13619,0.6232,1.74811,0.000208438,0.000208438,0.000208438
103,1438.92,0.84291,0.49533,1.74304,0.91777,0.90305,0.9653,0.80844,1.09825,0.61896,1.72267,0.000198125,0.000198125,0.000198125
104,1452.57,0.8488,0.48085,1.74373,0.94269,0.93357,0.96505,0.80355,1.11825,0.60214,1.74623,0.000187813,0.000187813,0.000187813
105,1466.39,0.81495,0.46826,1.72646,0.92146,0.93411,0.96331,0.80869,1.08651,0.61073,1.73822,0.0001775,0.0001775,0.0001775
106,1480.11,0.83219,0.49887,1.73974,0.93006,0.9474,0.96438,0.79531,1.08856,0.60929,1.73531,0.000167188,0.000167188,0.000167188
107,1493.76,0.81745,0.47838,1.72479,0.95208,0.89936,0.96156,0.80568,1.09819,0.59761,1.73657,0.000156875,0.000156875,0.000156875
108,1507.33,0.81214,0.46687,1.72086,0.94322,0.89366,0.96463,0.80188,1.10585,0.60753,1.72763,0.000146562,0.000146562,0.000146562
109,1520.84,0.78381,0.4614,1.72964,0.96293,0.90171,0.9696,0.79576,1.10744,0.57361,1.72981,0.00013625,0.00013625,0.00013625
110,1534.43,0.79451,0.46821,1.71758,0.90707,0.94695,0.96325,0.80302,1.099,0.56927,1.72819,0.000125938,0.000125938,0.000125938
111,1549.63,0.65818,0.36553,1.60649,0.87633,0.93863,0.96163,0.80441,1.10301,0.58251,1.72949,0.000115625,0.000115625,0.000115625
112,1563.51,0.64551,0.35779,1.59495,0.86065,0.94308,0.96012,0.79276,1.0999,0.58919,1.72506,0.000105312,0.000105312,0.000105312
113,1577.17,0.65823,0.36051,1.60233,0.83532,0.93385,0.95933,0.79294,1.106,0.59836,1.71993,9.5e-05,9.5e-05,9.5e-05
114,1590.86,0.63227,0.34645,1.59789,0.90957,0.82549,0.95619,0.79106,1.09866,0.58107,1.72766,8.46875e-05,8.46875e-05,8.46875e-05
115,1604.21,0.62482,0.34416,1.59922,0.89527,0.91722,0.95986,0.78598,1.10383,0.56231,1.72911,7.4375e-05,7.4375e-05,7.4375e-05
116,1617.66,0.62368,0.34043,1.6054,0.88755,0.93769,0.96586,0.79104,1.10753,0.56019,1.73429,6.40625e-05,6.40625e-05,6.40625e-05
117,1631.33,0.61064,0.33903,1.59701,0.89013,0.9246,0.96324,0.79797,1.09623,0.57519,1.72928,5.375e-05,5.375e-05,5.375e-05
118,1644.97,0.59235,0.3338,1.60918,0.91122,0.93857,0.96452,0.7988,1.09643,0.56407,1.73013,4.34375e-05,4.34375e-05,4.34375e-05
119,1658.59,0.60028,0.33108,1.59184,0.88814,0.91285,0.96048,0.7981,1.10735,0.58147,1.7312,3.3125e-05,3.3125e-05,3.3125e-05
120,1672.2,0.59056,0.33644,1.59265,0.89793,0.93716,0.96263,0.79069,1.10377,0.57271,1.73028,2.28125e-05,2.28125e-05,2.28125e-05
