epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1003.62,0.98019,0.52407,1.69708,0.97554,0.93487,0.98717,0.87757,0.9836,0.43614,1.69029,0.000713,0.000713,0.000713
80,1015.92,0.98886,0.54088,1.69424,0.95791,0.94531,0.98569,0.86984,0.96365,0.45096,1.68804,0.0006965,0.0006965,0.0006965
81,1028.32,0.95622,0.5194,1.6974,0.94427,0.97656,0.98995,0.86575,1.03777,0.46267,1.70378,0.00068,0.00068,0.00068
82,1040.74,0.94714,0.51749,1.68435,0.98502,0.9375,0.98845,0.8728,0.99006,0.46591,1.69002,0.0006635,0.0006635,0.0006635
83,1052.78,0.96122,0.5099,1.69895,0.96613,0.97656,0.9903,0.88148,0.94241,0.44632,1.67428,0.000647,0.000647,0.000647
84,1064.98,0.97402,0.53371,1.68237,0.98018,0.95312,0.98955,0.86568,0.96074,0.46113,1.68421,0.0006305,0.0006305,0.0006305
85,1077.33,0.94226,0.49999,1.69891,0.95413,0.97505,0.98949,0.88704,0.9547,0.42927,1.6839,0.000614,0.000614,0.000614
86,1089.74,0.93717,0.50606,1.67926,0.94645,0.96666,0.9881,0.87156,1.00579,0.45105,1.70312,0.0005975,0.0005975,0.0005975
87,1101.93,0.94096,0.50273,1.69331,0.97607,0.95608,0.99106,0.88711,0.96268,0.41737,1.68126,0.000581,0.000581,0.000581
88,1114.12,0.96986,0.52818,1.6981,0.94073,0.99193,0.99021,0.88714,0.9581,0.41988,1.68752,0.0005645,0.0005645,0.0005645
89,1126.54,0.95211,0.52417,1.6923,0.96915,0.98169,0.99142,0.87298,1.02276,0.45502,1.70454,0.000548,0.000548,0.000548
90,1139.02,0.90674,0.49936,1.68399,0.96147,0.97465,0.98976,0.8816,0.94898,0.44749,1.69324,0.0005315,0.0005315,0.0005315
91,1151.21,0.90872,0.4881,1.68546,0.96688,0.98438,0.99109,0.88528,0.93603,0.41901,1.68332,0.000515,0.000515,0.000515
92,1163.28,0.92583,0.48741,1.68814,0.97408,0.98438,0.98853,0.87192,1.00089,0.45639,1.68852,0.0004985,0.0004985,0.0004985
93,1175.47,0.91551,0.48981,1.67706,0.98091,0.97656,0.9924,0.88244,0.94577,0.43589,1.68812,0.000482,0.000482,0.000482
94,1187.83,0.86042,0.45015,1.65789,0.98139,0.96094,0.98959,0.88999,0.93974,0.42041,1.69397,0.0004655,0.0004655,0.0004655
95,1200.09,0.90679,0.48357,1.6835,0.97599,0.95288,0.98961,0.87784,0.95213,0.43235,1.68228,0.000449,0.000449,0.000449
96,1212.28,0.86753,0.47281,1.66271,0.9805,0.96094,0.9911,0.8821,0.94656,0.41787,1.66944,0.0004325,0.0004325,0.0004325
97,1224.47,0.8893,0.47538,1.68184,0.97028,0.96875,0.99055,0.87939,0.97855,0.43797,1.68792,0.000416,0.000416,0.000416
98,1236.84,0.85759,0.46703,1.67456,0.9467,0.97145,0.98791,0.88225,0.94662,0.44103,1.68722,0.0003995,0.0003995,0.0003995
99,1249.05,0.86533,0.47447,1.68337,0.96097,0.96176,0.98962,0.87181,0.97016,0.42767,1.67934,0.000383,0.000383,0.000383
100,1261.19,0.88262,0.48304,1.68108,0.97636,0.96788,0.99123,0.88249,0.95321,0.42685,1.67193,0.0003665,0.0003665,0.0003665
101,1273.57,0.84221,0.45268,1.66598,0.99205,0.97486,0.99274,0.88025,0.97746,0.42269,1.67569,0.00035,0.00035,0.00035
102,1285.98,0.84391,0.4646,1.66398,0.98218,0.96875,0.99195,0.88698,0.96967,0.40838,1.67598,0.0003335,0.0003335,0.0003335
103,1298.48,0.84538,0.45778,1.66817,0.96942,0.99073,0.99326,0.89492,0.93033,0.40433,1.66998,0.000317,0.000317,0.000317
104,1310.75,0.8101,0.45318,1.66543,0.9765,0.97378,0.99199,0.88823,0.95551,0.41356,1.69544,0.0003005,0.0003005,0.0003005
105,1322.89,0.83694,0.45988,1.64559,0.99212,0.98395,0.99352,0.88423,0.96416,0.41285,1.67973,0.000284,0.000284,0.000284
106,1335.56,0.78761,0.42021,1.64927,0.99204,0.97419,0.99303,0.89498,0.94306,0.40011,1.6939,0.0002675,0.0002675,0.0002675
107,1347.99,0.84055,0.46689,1.67849,0.97634,0.96725,0.99218,0.89149,0.92731,0.40309,1.6723,0.000251,0.000251,0.000251
108,1360.29,0.79101,0.44067,1.66093,0.97497,0.98438,0.99235,0.88556,0.94258,0.41706,1.67271,0.0002345,0.0002345,0.0002345
109,1372.45,0.78941,0.42586,1.67098,0.95909,0.98438,0.99059,0.883,0.94271,0.41914,1.67189,0.000218,0.000218,0.000218
110,1384.79,0.81422,0.43844,1.65836,0.96912,0.9809,0.99235,0.88463,0.93944,0.40658,1.67147,0.0002015,0.0002015,0.0002015
111,1398.53,0.68614,0.3551,1.60288,0.98201,0.96094,0.99157,0.88914,0.9337,0.40896,1.67687,0.000185,0.000185,0.000185
112,1411.11,0.6638,0.34492,1.60487,0.97584,0.98438,0.99254,0.8913,0.95303,0.40242,1.67199,0.0001685,0.0001685,0.0001685
113,1423.28,0.63059,0.33031,1.58028,0.98423,0.97527,0.99227,0.88692,0.95646,0.40601,1.67403,0.000152,0.000152,0.000152
114,1435.52,0.63736,0.32361,1.59519,0.99197,0.96549,0.99282,0.89017,0.95702,0.39891,1.7006,0.0001355,0.0001355,0.0001355
115,1448.06,0.62985,0.31853,1.58925,0.99192,0.95935,0.99234,0.89659,0.93707,0.39665,1.68992,0.000119,0.000119,0.000119
116,1460.41,0.60545,0.3145,1.58815,0.96918,0.98281,0.99134,0.89105,0.94112,0.40033,1.68691,0.0001025,0.0001025,0.0001025
117,1472.49,0.61948,0.31859,1.58679,0.96847,0.95979,0.98931,0.88501,0.93294,0.4226,1.67515,8.6e-05,8.6e-05,8.6e-05
118,1484.64,0.60571,0.30868,1.59107,0.96146,0.9746,0.99103,0.88662,0.94666,0.43624,1.67716,6.95e-05,6.95e-05,6.95e-05
119,1496.92,0.61521,0.30541,1.58308,0.98084,0.96094,0.99133,0.88572,0.94197,0.41016,1.68876,5.3e-05,5.3e-05,5.3e-05
120,1509.38,0.58167,0.30349,1.57866,0.97561,0.96875,0.99139,0.88924,0.93972,0.41151,1.67842,3.65e-05,3.65e-05,3.65e-05
